Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,132,11354,10552,16297,33265,20611,22196,12581,19637,26044,25778,10208,9275,13792,15168,41163,41593,9911,8266,5237,13214,31225,28924,33068,14037,44977,2083
,,,,,,,,133,11802,11456,17688,32645,23067,22894,12669,21240,27396,27132,10419,9459,14490,14850,40540,41366,9999,8722,5592,14070,29689,29451,32861,14491,48593,2277
,,,,,,,,134,12208,11833,18273,30430,22129,22367,12432,20698,27624,27692,10115,9244,14285,14064,38533,39563,10592,8700,5701,13808,27330,27594,30826,15256,47706,2228
,,,,,,,,135,12448,12971,20041,27483,20491,21022,11954,19491,26789,30556,9480,8759,13639,12832,35484,36507,10633,8410,5561,13186,24363,25173,28045,14952,45378,2101
,,,,,,,,136,12171,12839,19834,26601,19635,20133,11700,17865,25573,29934,9419,8688,13161,12683,35210,35932,10359,7872,5251,12379,24456,23972,26976,14435,42206,1932
,,,,,,,,137,11693,12318,19024,26803,18836,19965,11504,17918,25587,28754,9131,8414,13017,12317,34495,35167,9967,7886,5263,12274,24607,24069,26979,13621,42124,1929
,,,,,,,,138,11267,11580,17878,27996,18895,20094,11905,17498,25898,26866,9213,8433,13117,12843,35821,36018,9977,7876,5304,11865,25061,24249,27759,13075,40891,1865
,,,,,,,,139,11207,11643,17978,26898,19066,20665,12168,17609,26653,27833,9576,8787,13544,12882,35544,36420,9915,8122,5421,11959,24279,23592,27078,12918,40564,1845
,,,,,,,,140,11385,11480,17732,25906,18631,20503,11904,17790,26250,27261,9421,8672,13408,12650,34666,36016,10360,8148,5411,12293,23918,23160,26437,13391,41783,1896
,,,,,,,,141,11755,12242,18915,24822,18217,20306,11701,17538,25704,27176,9144,8420,13148,12457,33906,35542,10463,8000,5331,12163,23517,22800,25876,13824,41235,1871
,,,,,,,,142,11521,12273,18968,24291,18564,20178,11605,17117,25188,26799,9115,8403,12930,12481,33904,35683,10361,7843,5260,11960,23659,22580,25761,13580,40309,1830
,,,,,,,,143,11338,11966,18498,23798,18742,20109,11298,17229,25099,25854,8908,8216,12893,12219,33012,34917,10250,7823,5254,11992,23162,22231,25438,13523,40056,1822
